Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Zinnebir Xmas;48;176;-1;-1;6.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de la Senne;Victor Nonnemansstraat 40a;Sint-Pieters-Leeuw;Vlaams Brabant;Belgium;50.7853, 4.2437;
Bridal Ale 2005;49;974;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pelican Pub & Brewery;33180 Cape Kiwanda Drive;Pacific City;Oregon;United States;45.2152, -123.97;http://www.pelicanbrewery.com/
Zinnebir;50;176;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Brasserie de la Senne;Victor Nonnemansstraat 40a;Sint-Pieters-Leeuw;Vlaams Brabant;Belgium;50.7853, 4.2437;
Saison Imperiale;51;432;-1;-1;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
La Moneuse;52;170;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de Blaugies;Rue de la Frontire, 435;Blaugies;Hainaut;Belgium;50.3693, 3.827;
Red Sled Winter Ale;53;901;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
Christmas Ale 2007;54;39;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Anchor Brewing;1705 Mariposa Street;San Francisco;California;United States;37.7635, -122.401;
Equinox Dark Belgian Winter;55;176;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de la Senne;Victor Nonnemansstraat 40a;Sint-Pieters-Leeuw;Vlaams Brabant;Belgium;50.7853, 4.2437;
Serafijn Christmas Angel;56;856;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Microbrouwerij Achilles;Dulft 9A;Itegem;Antwerpen;Belgium;51.1028, 4.7269;
Obovoid Empirical Stout;57;160;3;43;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Furious Beer;58;1221;3;31;6;0;0;0;;Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main.    Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed off-ed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it's about 6% alcohol and around 100 IBUs.;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Surly Brewing;4811 Dusharme Drive;Brooklyn Center;Minnesota;United States;45.0429, -93.3246;http://www.surlybrewing.com/
Bender Beer;59;1221;3;38;5.099999905;0;0;0;;"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!";0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Surly Brewing;4811 Dusharme Drive;Brooklyn Center;Minnesota;United States;45.0429, -93.3246;http://www.surlybrewing.com/
Oak Aged Ebenezer;60;1315;-1;-1;9.399999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Upstream Brewing Company at Legacy;17070 Wright Plaza;Omaha;Nebraska;United States;41.2331, -96.1811;
Killer Penguin;61;160;3;35;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Barley Wine Ale;North American Ale;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Oatmeal Stout;62;236;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
Isolation Ale;63;935;11;141;6;0;0;0;;Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.;0;2010-07-22 22:00:00+02:00;Winter Warmer;Other Style;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Festive Ale 2007;64;501;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Bourbon County Stout 2007;65;586;-1;-1;13;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871, -87.6721;
Twelve Days;66;670;3;42;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Hook Norton Brewery;Brewery Lane;Hook Norton;Oxford;United Kingdom;51.9966, -1.4922;
Seriously Bad Elf;67;1056;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462, -1.1355;
Big Shot Seasonal Ale;68;905;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
God Jul - Winter Ale;69;923;3;42;8.5;0;0;0;;A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer ��� just the way we think a Christmas beer should be.;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;N��gne �� - Det Kompromissl��se Bryggeri A/S;Gamle Rygene Kraftstasjon;Grimstad;Lunde;Norway;;http://nogne-o.com/
Harvest Ale 2007;70;1142;3;26;6.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Nut Cracker Ale;71;161;11;141;5.900000095;0;0;0;;Nutcracker Ale is Boulevard�۪s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the ���spiciness�۝ of freshly harvested Chinook hops.;0;2010-07-22 22:00:00+02:00;Winter Warmer;Other Style;Boulevard Brewing Company;2501 Southwest Boulevard;Kansas City;Missouri;United States;39.0821, -94.5965;http://www.blvdbeer.com/
Goosinator Smoked Doppelbock 2007;72;779;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Snow Bound Winter Ale;73;779;-1;-1;8.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Warrior IPA;74;779;3;31;6.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Petrus Oud Bruin;75;266;-1;-1;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Bavik - De Brabandere;Rijksweg 33;Bavikhove;West-Vlaanderen;Belgium;50.8628, 3.2992;
Petrus Gouden Tripel Ale;76;266;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Bavik - De Brabandere;Rijksweg 33;Bavikhove;West-Vlaanderen;Belgium;50.8628, 3.2992;
Petrus Blond Ale;77;266;-1;-1;6.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Bavik - De Brabandere;Rijksweg 33;Bavikhove;West-Vlaanderen;Belgium;50.8628, 3.2992;
Petrus Dubbel Bruin Ale;78;266;5;60;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Dubbel;Belgian and French Ale;Brouwerij Bavik - De Brabandere;Rijksweg 33;Bavikhove;West-Vlaanderen;Belgium;50.8628, 3.2992;
Petrus Speciale;79;266;3;26;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Brouwerij Bavik - De Brabandere;Rijksweg 33;Bavikhove;West-Vlaanderen;Belgium;50.8628, 3.2992;
Weizengold Hefefein;80;1202;4;50;5.099999905;0;0;0;;"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand.";0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Stieglbrauerei zu Salzburg GmbH;Kendlerstra��e 1;Salzburg;;Austria;47.8005, 13.0444;http://www.stieglbrauerei.at/
Never Summer Ale;81;160;11;141;5.940000057;0;0;0;;;0;2010-07-22 22:00:00+02:00;Winter Warmer;Other Style;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Modern Monks Belgian Blonde;82;1264;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Thunderhead Brewery #2;120 East Third Street;Grand Island;Nebraska;United States;40.9259, -98.3397;
Grand Cru;83;1264;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Thunderhead Brewery #2;120 East Third Street;Grand Island;Nebraska;United States;40.9259, -98.3397;
J̦rger Wei��e Hell;84;210;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Brauerei Grieskirchen AG;Stadtplatz 14;Grieskirchen;;Austria;48.2351, 13.8292;
OSB Premium Ale;85;1272;-1;-1;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Tomos Watkin and Sons Ltd.;Unit 3, Century Park, Valley Way;Swansea;Wales;United Kingdom;51.6666, -3.9443;
Morocco Ale;86;425;-1;-1;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Daleside Brewery;Camwal Road;Harrogate;North Yorkshire;United Kingdom;53.9999, -1.501;
Glacier Ale;87;1047;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Red Lodge Ales;417 North Broadway;Red Lodge;Montana;United States;45.1913, -109.247;
Bent Nail IPA;88;1047;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Red Lodge Ales;417 North Broadway;Red Lodge;Montana;United States;45.1913, -109.247;
Espresso Porter;89;879;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Harvest Ale;90;879;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Stillwater Rye;91;879;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Sharptail Pale Ale;92;879;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Fat Belly Amber;93;879;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Whitetail Wheat;94;879;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Sandbagger Gold;95;879;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Montana Brewing;113 North Broadway;Billings;Montana;United States;45.7822, -108.506;
Brunette Nut Brown Ale;96;901;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;41.1339, -96.0307;
Irish Red;97;901;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
Belgian Wit;98;901;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;41.1339, -96.0307;
EOS Hefeweizen;99;901;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
India Pale Ale;100;901;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
Winter Ale;101;1185;1;13;6.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;St Peter's Brewery;St Peter's Hall;Bungay;Suffolk;United Kingdom;36.7282, -76.5836;
Pride & Joy Mild Ale;102;1260;1;10;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Three Floyds Brewing;9750 Indiana Parkway;Munster;Indiana;United States;41.5354, -87.5158;http://www.threefloydspub.com/
Robert the Bruce Scottish Ale;103;1260;1;15;7;0;0;0;;A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Three Floyds Brewing;9750 Indiana Parkway;Munster;Indiana;United States;41.5354, -87.5158;http://www.threefloydspub.com/
Lump of Coal Dark Holiday Stout;104;1056;3;42;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462, -1.1355;
Warm Welcome Nut Browned Ale;105;1056;3;38;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462, -1.1355;
